"CD","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2120101,909,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,1
2120102,761,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2120103,611,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2120104,228,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2
2120105,664,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
2120106,975,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2120107,819,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2120108,539,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,1
2120109,888,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
2120110,390,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
2120111,614,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2120112,1063,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
2120113,377,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2120114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2120201,752,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2120202,718,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
2120203,647,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2120204,742,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
2120205,1059,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
2120206,632,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
2120207,832,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2120208,804,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,1
2120209,854,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2120210,370,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2120211,873,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2120212,599,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
