"SA1","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2110501,223,NA,1,NA,3,NA,3,NA,3,NA,1,NA,1
2110502,640,NA,3,NA,1,NA,3,NA,2,NA,3,NA,1
2110503,449,NA,2,NA,2,NA,3,NA,2,NA,2,NA,2
2110504,355,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110505,361,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110506,443,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110507,508,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110508,373,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110509,410,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110510,578,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110512,332,NA,1,NA,2,NA,2,NA,2,NA,3,NA,3
2110514,458,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110515,408,NA,3,NA,3,NA,2,NA,2,NA,2,NA,1
2110516,266,NA,1,NA,1,NA,3,NA,2,NA,3,NA,1
2110517,424,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2110518,444,NA,2,NA,2,NA,3,NA,2,NA,2,NA,1
2110519,362,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110520,403,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1
2110521,626,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110522,644,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110523,934,NA,3,NA,1,NA,3,NA,2,NA,3,NA,1
2110524,481,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110525,370,NA,2,NA,3,NA,3,NA,2,NA,1,NA,1
2110526,502,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110527,306,NA,1,NA,2,NA,2,NA,2,NA,3,NA,2
2110528,328,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
2110529,564,NA,3,NA,1,NA,3,NA,2,NA,2,NA,1
2110530,590,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110531,605,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110532,210,NA,1,NA,3,NA,3,NA,2,NA,2,NA,1
2110533,457,NA,2,NA,2,NA,2,NA,2,NA,2,NA,2
2110534,654,NA,3,NA,1,NA,3,NA,2,NA,3,NA,1
2110535,635,NA,3,NA,1,NA,3,NA,2,NA,3,NA,1
2110536,359,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1
2110537,453,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110538,446,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110539,395,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110540,559,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110541,659,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110542,473,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110543,492,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110545,960,NA,3,NA,1,NA,3,NA,2,NA,1,NA,1
2110546,253,NA,1,NA,3,NA,3,NA,2,NA,2,NA,1
2110547,293,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110548,272,NA,1,NA,3,NA,3,NA,2,NA,2,NA,1
2110549,439,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110550,437,NA,2,NA,2,NA,3,NA,2,NA,2,NA,1
2110551,401,NA,1,NA,2,NA,3,NA,2,NA,1,NA,1
2110552,466,NA,3,NA,3,NA,3,NA,2,NA,3,NA,1
2110553,89,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1
2110554,309,NA,2,NA,3,NA,3,NA,2,NA,1,NA,1
2110555,287,NA,2,NA,3,NA,3,NA,2,NA,1,NA,1
2110556,386,NA,1,NA,2,NA,3,NA,2,NA,3,NA,1
2110557,207,NA,1,NA,3,NA,3,NA,2,NA,2,NA,1
2110558,951,NA,3,NA,2,NA,3,NA,2,NA,1,NA,1
2110559,502,NA,2,NA,2,NA,3,NA,1,NA,3,NA,1
2110601,590,NA,2,NA,1,NA,3,NA,2,NA,3,NA,2
2110602,1154,NA,3,NA,1,NA,3,NA,2,NA,1,NA,1
2110603,677,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110604,1173,NA,3,NA,1,NA,3,NA,2,NA,2,NA,1
2110605,431,NA,1,NA,1,NA,3,NA,2,NA,3,NA,1
2110606,317,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110607,834,NA,3,NA,1,NA,3,NA,2,NA,2,NA,1
2110608,451,NA,2,NA,2,NA,1,NA,1,NA,3,NA,2
2110609,522,NA,2,NA,2,NA,3,NA,2,NA,2,NA,1
2110610,512,NA,3,NA,3,NA,3,NA,2,NA,2,NA,1
2110611,483,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110612,543,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110613,416,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2110614,682,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110615,428,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110616,556,NA,3,NA,2,NA,3,NA,2,NA,1,NA,1
2110617,536,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110618,344,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110619,307,NA,1,NA,2,NA,2,NA,2,NA,3,NA,1
2110701,510,NA,2,NA,1,NA,2,NA,3,NA,3,NA,1
2110702,343,NA,2,NA,3,NA,2,NA,1,NA,3,NA,1
2110703,496,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2110704,385,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110705,511,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2
2110706,610,NA,3,NA,1,NA,2,NA,3,NA,3,NA,1
2110707,602,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2110708,360,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110709,763,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110710,323,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110711,581,NA,3,NA,3,NA,3,NA,2,NA,1,NA,1
2110712,495,NA,3,NA,2,NA,3,NA,2,NA,3,NA,2
2110713,476,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110714,465,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2
2110715,508,NA,3,NA,3,NA,3,NA,2,NA,2,NA,3
2110716,473,NA,3,NA,3,NA,3,NA,2,NA,2,NA,1
2110717,373,NA,2,NA,2,NA,2,NA,2,NA,3,NA,2
2110718,392,NA,2,NA,3,NA,3,NA,1,NA,1,NA,1
2110719,568,NA,3,NA,2,NA,1,NA,2,NA,2,NA,2
2110720,526,NA,3,NA,3,NA,3,NA,1,NA,3,NA,1
2110721,392,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110722,192,NA,1,NA,3,NA,2,NA,2,NA,3,NA,1
2110723,328,NA,1,NA,2,NA,2,NA,2,NA,3,NA,1
2110724,357,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110725,492,NA,2,NA,2,NA,2,NA,2,NA,3,NA,1
2110726,438,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2110727,327,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2
2110728,317,NA,1,NA,3,NA,2,NA,2,NA,3,NA,2
2110729,331,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2110730,269,NA,2,NA,3,NA,3,NA,1,NA,1,NA,1
2110731,544,NA,2,NA,1,NA,3,NA,2,NA,3,NA,1
2110801,350,NA,2,NA,3,NA,3,NA,2,NA,2,NA,2
2110802,301,NA,2,NA,3,NA,3,NA,2,NA,3,NA,1
2110803,560,NA,2,NA,1,NA,3,NA,1,NA,2,NA,2
2110804,325,NA,1,NA,3,NA,2,NA,1,NA,3,NA,1
2110805,572,NA,3,NA,2,NA,2,NA,1,NA,3,NA,2
2110806,497,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
2110807,625,NA,3,NA,2,NA,3,NA,2,NA,2,NA,1
2110808,457,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
2110809,513,NA,3,NA,2,NA,2,NA,1,NA,3,NA,2
