"CD","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
"1201201",603,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1201202",613,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1201203",1284,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1201204",356,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1201205",821,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1201206",687,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,3
"1201207",821,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1201208",854,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201209",594,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,2
"1201210",464,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,2
"1201211",246,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1201301",893,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
"1201302",313,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,2
"1201303",931,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1201304",369,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1201305",465,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1201306",320,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201307",810,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201308",771,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1201309",460,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1201310",486,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,2
"1201311",302,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,2
"1201312",643,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1201401",228,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,3
"1201402",711,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,2
"1201403",290,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1201404",505,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1201405",1030,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201406",852,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1201407",341,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1201408",739,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1201409",655,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1201410",349,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1201411",488,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
"1201501",599,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,2
"1201502",657,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1201503",666,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201504",273,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1201505",1029,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201506",801,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201507",389,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1201508",816,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1201509",709,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201510",394,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1201511",1008,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,2
"1201601",1131,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1201602",761,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201603",712,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201604",605,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201605",861,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1201606",481,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201607",187,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1
"1201608",536,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
"1201609",1275,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201610",553,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201611",280,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1201612",631,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201613",481,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1201614",994,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210101",561,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210102",213,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210103",673,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210104",357,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210105",486,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210106",350,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210107",403,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,2
"1210108",437,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210109",350,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210110",708,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210111",474,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210112",444,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210113",1143,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210114",NA,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210115",571,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210201",383,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210202",673,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210203",306,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210204",688,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210205",687,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210206",389,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210207",755,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210208",415,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210209",445,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210210",944,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1210212",697,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,1
"1210301",594,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
"1210302",848,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210303",1043,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210304",915,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210305",1353,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,3
"1210306",329,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
"1210307",663,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210308",580,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"1210309",412,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,1
"1210310",1063,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210311",1160,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,1
"1210312",706,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
"1210313",524,NA,NA,NA,NA,NA,3,NA,3,NA,2,NA,1
