"SA1","Total population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1102802,566,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1102803,549,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102804,230,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1102805,322,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102806,505,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1102807,378,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102808,397,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1102809,599,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1102810,489,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102811,431,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1102812,375,NA,2,NA,2,NA,2,NA,1,NA,3,NA,3
1102813,382,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1102814,405,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102815,316,NA,1,NA,1,NA,3,NA,1,NA,2,NA,3
1102816,284,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
1102817,370,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102818,401,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102901,289,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102902,266,NA,1,NA,2,NA,3,NA,1,NA,3,NA,3
1102903,411,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1102904,476,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1102905,384,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1102906,193,NA,1,NA,1,NA,3,NA,1,NA,2,NA,3
1102907,289,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1102908,389,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1102909,356,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1102910,505,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1102911,457,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1102912,464,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102913,315,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1102914,305,NA,1,NA,2,NA,1,NA,1,NA,3,NA,1
1102915,518,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1102916,362,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1102917,249,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1102918,390,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1102919,287,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1102920,NA,NA,1,NA,3,NA,3,NA,1,NA,NA,NA,1
1102921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102922,494,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1102923,405,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1102924,517,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1102925,501,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1102926,298,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1102927,531,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1102928,680,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103001,425,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103002,557,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103003,218,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
1103004,328,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103005,287,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103006,342,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103007,379,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103008,204,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103009,386,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103010,360,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103011,515,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103012,425,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103101,311,NA,1,NA,2,NA,2,NA,1,NA,3,NA,2
1103102,318,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
