"SA1","Total Persons","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1102802,609,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1102803,614,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102804,240,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1102805,330,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1102806,528,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1102807,421,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102808,393,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102809,639,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1102810,486,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1102811,434,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1102812,421,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102813,340,NA,1,NA,2,NA,3,NA,1,NA,3,NA,3
1102814,410,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102815,390,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102816,254,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
1102817,391,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102818,419,NA,2,NA,2,NA,2,NA,1,NA,3,NA,3
1102901,316,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102902,299,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1102903,444,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1102904,529,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1102905,396,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102906,224,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
1102907,306,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1102908,388,NA,1,NA,2,NA,3,NA,1,NA,2,NA,1
1102909,368,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1102910,480,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1102911,478,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102912,435,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102913,323,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102914,281,NA,1,NA,2,NA,1,NA,1,NA,2,NA,1
1102915,514,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102916,391,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1102917,244,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1102918,384,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102919,373,NA,2,NA,2,NA,3,NA,1,NA,1,NA,1
1102920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102922,532,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1102923,370,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102924,499,NA,2,NA,1,NA,1,NA,1,NA,3,NA,3
1102925,557,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1102926,315,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1102927,577,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1102928,688,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103002,590,NA,2,NA,1,NA,1,NA,1,NA,3,NA,2
1103003,249,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
1103004,375,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103005,268,NA,1,NA,1,NA,1,NA,1,NA,3,NA,1
1103006,385,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103007,389,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103008,217,NA,1,NA,2,NA,1,NA,1,NA,2,NA,1
1103009,366,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1103010,411,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103011,593,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103012,394,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103013,27,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1
1103014,446,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103101,336,NA,1,NA,2,NA,2,NA,1,NA,3,NA,2
1103102,306,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1103103,373,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103104,477,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1103105,472,NA,2,NA,1,NA,1,NA,1,NA,3,NA,2
1103106,247,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103107,33,NA,1,NA,3,NA,1,NA,1,NA,1,NA,2
1103108,254,NA,1,NA,3,NA,2,NA,1,NA,3,NA,3
1103109,247,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103110,462,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103111,353,NA,1,NA,2,NA,3,NA,1,NA,2,NA,3
1103112,163,NA,1,NA,2,NA,3,NA,1,NA,3,NA,3
1103113,464,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103114,473,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103115,517,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1103116,500,NA,1,NA,1,NA,3,NA,1,NA,1,NA,3
1103117,350,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
